CustomerID,CustomerType,AgeGroup,Gender,Location,DateOfFirstPurchase,LastPurchaseDate
C00000,Returning,18-25,Male,Lake Richardberg,2024-02-14,2024-06-07
C00001,Returning,18-25,Other,Kellychester,2023-08-02,2024-07-12
C00002,New,18-25,Female,Longbury,2024-03-29,2024-08-04
C00003,Returning,<18,Other,Kellychester,2024-03-22,2024-04-08
C00004,Returning,26-40,Other,Brownberg,2024-01-05,2025-02-16
C00005,Returning,60+,Male,Middletonview,2023-07-13,2024-09-28
C00006,Returning,60+,Other,New Teresa,2023-11-11,2024-04-16
C00007,Returning,60+,Other,Nelsonton,2023-12-06,2024-09-09
C00008,New,41-60,Male,Smithbury,2023-06-14,2025-01-05
C00009,New,18-25,Female,Lake Nicole,2023-12-10,2024-06-02
C00010,Returning,18-25,Female,South Josephside,2024-03-08,2024-05-24
C00011,New,18-25,Female,Port Marvinmouth,2024-04-01,2024-12-17
C00012,New,41-60,Male,Garyside,2023-08-22,2023-12-12
C00013,Returning,26-40,Other,Katherineborough,2024-03-30,2024-08-08
C00014,New,<18,Female,Tiffanyton,2024-02-22,2024-12-21
C00015,Returning,18-25,Male,Port Kathleen,2023-07-07,2023-12-12
C00016,New,26-40,Female,Garzaborough,2023-09-09,2024-12-30
C00017,New,60+,Female,Port Kathleen,2023-08-03,2024-07-24
C00018,New,<18,Female,Port Karenchester,2024-04-19,2024-10-06
C00019,Returning,60+,Other,Mayborough,2023-10-07,2024-01-08
C00020,New,26-40,Male,Richardfurt,2023-07-22,2024-06-11
C00021,New,26-40,Female,Pruittfurt,2024-01-14,2024-07-22
C00022,Returning,60+,Female,New Colin,2023-10-03,2024-09-22
C00023,Returning,<18,Male,Pereztown,2023-06-05,2024-06-01
C00024,New,60+,Male,Andrewville,2023-10-28,2024-01-05
C00025,Returning,60+,Male,Starkberg,2023-11-03,2025-02-23
C00026,New,60+,Male,Watsonburgh,2023-10-07,2024-07-20
C00027,New,<18,Male,West John,2023-08-11,2024-04-13
C00028,Returning,41-60,Other,Lake Tracy,2023-09-26,2024-02-10
C00029,Returning,<18,Male,Maryfort,2023-12-05,2024-09-24
C00030,Returning,60+,Female,West Katherine,2024-03-07,2024-03-16
C00031,New,18-25,Other,East Michael,2023-08-27,2024-08-22
C00032,Returning,18-25,Female,Pearsonport,2024-01-02,2024-03-01
C00033,New,26-40,Other,South Brianshire,2023-06-12,2024-03-09
C00034,Returning,41-60,Male,Malloryville,2023-09-04,2024-07-11
C00035,New,26-40,Other,East Mary,2024-04-08,2024-04-19
C00036,Returning,26-40,Female,Pereztown,2023-08-25,2025-01-17
C00037,New,18-25,Other,Lake Tracy,2024-01-05,2024-03-16
C00038,Returning,<18,Other,Toddburgh,2023-05-11,2024-04-24
C00039,New,26-40,Male,Nicoletown,2023-10-14,2024-11-10
C00040,Returning,26-40,Female,West John,2023-09-11,2024-01-03
C00041,Returning,41-60,Other,Alvinstad,2023-09-29,2024-07-17
C00042,New,18-25,Female,Katherineborough,2023-10-14,2023-11-10
C00043,Returning,<18,Other,Rodgersburgh,2023-10-06,2024-11-17
C00044,New,41-60,Female,Rivaschester,2023-07-31,2023-09-11
C00045,New,<18,Female,Klinefort,2023-07-26,2023-12-08
C00046,Returning,<18,Female,North Dustin,2024-04-30,2024-12-01
C00047,New,26-40,Male,Lambury,2023-08-09,2024-02-28
C00048,Returning,41-60,Male,Lake Adamburgh,2023-08-15,2024-03-26
C00049,Returning,26-40,Female,Gravesville,2023-07-29,2024-04-15
C00050,New,60+,Female,West John,2023-11-09,2024-04-23
C00051,Returning,<18,Male,Malloryville,2023-12-21,2024-06-14
C00052,New,41-60,Other,West Saraberg,2024-01-23,2025-03-18
C00053,New,18-25,Female,Richardland,2024-01-02,2024-08-02
C00054,Returning,26-40,Female,Richardland,2023-07-11,2024-01-03
C00055,Returning,60+,Male,Ryanhaven,2023-07-18,2023-11-29
C00056,New,60+,Other,Gravesville,2024-03-09,2024-05-03
C00057,New,60+,Female,Ryanhaven,2023-12-21,2025-01-27
C00058,Returning,26-40,Female,Brianhaven,2024-02-06,2025-04-18
C00059,Returning,18-25,Female,West Mary,2023-07-04,2024-02-28
C00060,Returning,41-60,Female,Port Brittanyville,2024-04-03,2025-01-12
C00061,Returning,<18,Male,Rodgersburgh,2023-12-12,2025-03-17
C00062,New,18-25,Other,Alvinstad,2024-03-04,2024-03-11
C00063,Returning,26-40,Other,Georgechester,2023-12-12,2024-07-09
C00064,New,41-60,Female,Nicoletown,2023-07-12,2024-04-12
C00065,New,<18,Other,Lake Nicole,2023-06-15,2023-07-16
C00066,Returning,41-60,Other,Malloryville,2024-05-01,2024-12-04
C00067,New,<18,Other,Lake Brenda,2023-07-28,2023-10-25
C00068,Returning,<18,Female,East Kristin,2023-12-22,2024-09-10
C00069,New,60+,Other,Richardfurt,2023-11-04,2024-10-16
C00070,Returning,26-40,Other,Crossborough,2023-12-01,2024-03-21
C00071,New,18-25,Female,East Mary,2023-11-30,2023-11-30
C00072,New,60+,Male,North Renee,2023-09-17,2023-12-03
C00073,Returning,60+,Male,Klinefort,2023-08-23,2024-09-22
C00074,Returning,41-60,Male,South Michelleville,2023-07-20,2024-03-26
C00075,New,<18,Male,Fieldsmouth,2024-01-04,2024-09-07
C00076,New,<18,Other,Klinefort,2023-12-14,2024-09-24
C00077,Returning,41-60,Female,Pereztown,2023-05-23,2025-03-03
C00078,New,26-40,Male,Benderberg,2023-08-25,2024-10-31
C00079,Returning,<18,Female,Rivaschester,2024-01-23,2024-06-03
C00080,New,60+,Male,Klinefort,2023-08-06,2025-03-22
C00081,Returning,60+,Other,Lake Drew,2023-09-13,2023-10-31
C00082,New,<18,Female,Watsonburgh,2023-11-16,2025-02-02
C00083,Returning,<18,Male,South Nicole,2024-03-31,2025-01-26
C00084,Returning,26-40,Other,Malloryville,2023-09-14,2024-03-26
C00085,New,<18,Other,Nicoletown,2023-07-27,2023-09-17
C00086,Returning,26-40,Other,Port Karenchester,2023-12-21,2024-07-12
C00087,New,60+,Male,East Michael,2023-09-28,2025-04-07
C00088,Returning,26-40,Female,Jordanville,2024-04-03,2024-11-24
C00089,Returning,<18,Male,Emilystad,2023-09-05,2024-01-15
C00090,Returning,18-25,Other,Fieldsmouth,2023-11-20,2025-02-11
C00091,New,<18,Other,Pearsonport,2023-10-25,2023-12-08
C00092,Returning,18-25,Male,West Katherine,2023-05-08,2025-02-27
C00093,New,60+,Female,South Josephside,2023-12-31,2024-03-04
C00094,Returning,41-60,Male,West Saraberg,2023-07-30,2024-11-19
C00095,New,60+,Female,West Saraberg,2024-01-07,2024-07-04
C00096,New,60+,Female,Nicoletown,2023-05-22,2024-02-29
C00097,New,60+,Male,Garyside,2023-09-03,2025-01-24
C00098,Returning,26-40,Female,Port Karenchester,2023-11-15,2024-08-04
C00099,New,60+,Female,Andersonfurt,2024-01-31,2024-03-24
C00100,Returning,41-60,Other,East Mary,2023-11-07,2025-02-20
C00101,New,<18,Other,South Nicole,2023-08-20,2024-01-17
C00102,New,18-25,Other,Smithbury,2023-05-21,2023-09-16
C00103,New,60+,Other,Simmonsborough,2024-04-18,2024-05-08
C00104,New,18-25,Female,Fieldsmouth,2023-12-09,2024-06-09
C00105,Returning,60+,Female,West Saraberg,2023-11-05,2025-04-22
C00106,New,26-40,Other,Longbury,2023-05-11,2025-04-01
C00107,New,18-25,Male,Maryfort,2023-09-10,2024-01-26
C00108,Returning,60+,Other,Annborough,2024-01-02,2024-04-18
C00109,New,60+,Male,Schultzchester,2024-03-31,2024-08-16
C00110,New,41-60,Male,Benderberg,2023-05-08,2023-11-11
C00111,New,41-60,Other,Port Wayneville,2023-10-26,2024-01-11
C00112,New,41-60,Male,South Josephside,2024-03-15,2024-12-12
C00113,Returning,26-40,Male,East Mary,2024-02-10,2024-12-02
C00114,Returning,18-25,Other,Johnburgh,2023-11-06,2025-04-19
C00115,New,26-40,Female,East Michael,2023-09-09,2023-10-29
C00116,Returning,<18,Male,Fordstad,2023-09-11,2024-05-06
C00117,Returning,60+,Other,Rodgersburgh,2024-02-17,2024-09-22
C00118,New,60+,Female,Annborough,2024-03-26,2024-05-25
C00119,Returning,60+,Female,Nelsonton,2023-12-17,2024-09-10
C00120,New,41-60,Female,Lisatown,2024-02-02,2025-04-04
